"population","timing_data","run_size_data"
"adams","no","yes"
"blackwater","no","yes"
"chehalis","no","yes"
"chilliwack_su","no","yes"
"douglas","no","yes"
"holliday","no","yes"
"kazchek","no","yes"
"lower_thompson","no","yes"
"mc_kale","no","yes"
"mc_kinley","no","yes"
"nahatlatch","no","yes"
"narcosli","no","yes"
"naver","no","yes"
"pinchi","no","yes"
"scotch","no","yes"
"seton","no","yes"
"small","no","yes"
"stellako","no","yes"
"tipella","no","yes"
"twin","no","yes"
"wap","no","yes"
"baezaeko","yes","no"
"duteau","yes","no"
"fontoniko","yes","no"
"herrick","yes","no"
"indianpoint","yes","no"
"james","yes","no"
"kenneth","yes","no"
"lower_adams","yes","no"
"nazko","yes","no"
"ptarmigan","yes","no"
"thompson","yes","no"
"west","yes","no"
"baker","yes","yes"
"barriere","yes","yes"
"bessette","yes","yes"
"big_silver","yes","yes"
"birkenhead","yes","yes"
"blue","yes","yes"
"bonaparte","yes","yes"
"bowron","yes","yes"
"bridge","yes","yes"
"cariboo","yes","yes"
"chilako","yes","yes"
"chilcotin_lower","yes","yes"
"chilcotin_upper","yes","yes"
"chilko","yes","yes"
"chilliwack","yes","yes"
"clearwater","yes","yes"
"coldwater","yes","yes"
"cottonwood","yes","yes"
"deadman","yes","yes"
"dome","yes","yes"
"eagle","yes","yes"
"elkin","yes","yes"
"endako","yes","yes"
"finn","yes","yes"
"fraser","yes","yes"
"goat","yes","yes"
"harrison","yes","yes"
"holmes","yes","yes"
"horsefly","yes","yes"
"horsey","yes","yes"
"kuzkwa","yes","yes"
"lemieux","yes","yes"
"little_river","yes","yes"
"louis","yes","yes"
"lower_shuswap","yes","yes"
"mahood","yes","yes"
"maria_slough","yes","yes"
"mc_gregor","yes","yes"
"middle_shuswap","yes","yes"
"morkill","yes","yes"
"nechako","yes","yes"
"nevin","yes","yes"
"nicola","yes","yes"
"north_thompson","yes","yes"
"pitt","yes","yes"
"portage","yes","yes"
"quesnel","yes","yes"
"raft","yes","yes"
"salmon_pg","yes","yes"
"salmon_st","yes","yes"
"seymour","yes","yes"
"slim","yes","yes"
"sloquet","yes","yes"
"south_thompson","yes","yes"
"spius","yes","yes"
"stave","yes","yes"
"stuart","yes","yes"
"swift","yes","yes"
"taseko","yes","yes"
"torpy","yes","yes"
"upper_adams","yes","yes"
"walker","yes","yes"
"willow","yes","yes"
