Stock Name,No.,Loc,Agg,Agg Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift,1,1,1,Spring 5.2,350,350,300,570,700,1200,1200,900,1000,1500,850,1200,600,980,1000,886,1646,1508,1195,1098,375,486,982,1516,835,520,335,643,328,422,747,378,363,208,392,823,435,260,174,134,2,268,183,402,687
Fraser,2,1,1,Spring 5.2,1800,4000,1800,1800,4300,5814,6050,6500,3500,4000,5000,6000,4027,3224,3300,4240,5862,2837,2335,1289,2081,2262,3832,4302,3048,2062,2538,2142,1021,1858,3281,1500,1046,768,1432,4345,1443,3022,1114,1283,1090,4374,1951,2786,3006
Horsey,3,1,1,Spring 5.2,25,20,20,15,100,250,325,175,200,180,100,100,50,90,130,180,172,22,111,57,14,128,94,308,288,62,34,146,22,0,111,68,49,48,80,132,52,68,22,23,0,18,29,2,94
Nevin,4,1,1,Spring 5.2,20,12,5,40,45,60,100,125,110,140,60,20,55,74,80,90,131,29,45,161,46,62,57,132,385,238,77,174,42,20,174,58,86,38,66,145,71,51,68,23,0,19,74,132,83
Holmes,5,1,1,Spring 5.2,450,500,400,900,1100,1750,2400,3000,3000,2700,1500,2100,1500,2150,2100,1877,2803,2774,2668,1262,523,1784,1018,3740,4110,1376,821,1456,763,454,2187,212,420,203,1069,2011,860,658,428,637,140,528,188,805,1439
McKale,6,1,1,Spring 5.2,10,4,10,40,15,12,5,40,15,75,35,40,14,15,39,56,23,0,39,20,23,32,9,122,49,68,78,11,17,18,118,29,35,5,25,23,28,8,6,0,24,37,15,43,30
Twin,7,1,1,Spring 5.2,25,0,10,20,10,45,50,50,105,70,20,70,42,50,60,43,0,75,0,88,42,52,49,73,160,102,70,100,20,34,196,23,17,51,73,97,21,24,56,52,44,46,2,58,52
Goat,8,1,1,Spring 5.2,15,85,20,50,10,130,85,150,160,110,50,100,107,100,55,293,400,442,229,186,86,212,411,820,569,183,151,172,114,145,311,75,55,35,125,237,115,65,42,55,10,79,148,112,161
Morkill,9,1,1,Spring 5.2,200,429,150,359,544,150,400,1000,2000,1800,400,1000,1000,1800,904,1231,314,500,549,1788,591,694,752,0,241,1044,386,549,410,185,1309,482,71,6,300,466,828,364,231,241,563,592,516,614,635
