Year,Stream Name,Standard G-R scale age,PostOrbitalHypural_Length,CWT_Age,ForkLength_from PostOorbitalHypural_Length,FL_rounded
2013,Chilko R,42,37.2,.,45.9,46
2013,Chilko R,42,39.4,.,48.7,49
2013,Chilko R,42,44.1,.,54.5,54
2013,Chilko R,42,47.2,.,58.3,58
2013,Chilko R,42,48.5,.,59.9,60
2013,Chilko R,42,49.5,.,61.2,61
2013,Chilko R,42,49.5,.,61.2,61
2013,Chilko R,42,49.9,.,61.7,62
2013,Chilko R,42,50.3,.,62.2,62
2013,Chilko R,42,50.5,.,62.4,62
2013,Chilko R,42,50.6,.,62.5,63
2013,Chilko R,42,50.6,.,62.5,63
2013,Chilko R,42,50.8,.,62.8,63
2013,Chilko R,42,50.9,.,62.9,63
2013,Chilko R,42,51.2,.,63.3,63
2013,Chilko R,42,51.3,.,63.4,63
2013,Chilko R,42,51.5,.,63.6,64
2013,Chilko R,42,51.8,.,64.0,64
2013,Chilko R,42,52,.,64.3,64
2013,Chilko R,42,52.1,.,64.4,64
2013,Chilko R,42,52.1,.,64.4,64
2013,Chilko R,42,52.3,.,64.6,65
2013,Chilko R,42,52.5,.,64.9,65
2013,Chilko R,42,52.5,.,64.9,65
2013,Chilko R,42,52.5,.,64.9,65
2013,Chilko R,42,52.5,.,64.9,65
2013,Chilko R,42,52.8,.,65.3,65
2013,Chilko R,42,53,.,65.5,66
2013,Chilko R,42,53,.,65.5,66
2013,Chilko R,42,53,.,65.5,66
2013,Chilko R,42,53.2,.,65.7,66
2013,Chilko R,42,53.4,.,66.0,66
2013,Chilko R,42,53.5,.,66.1,66
2013,Chilko R,42,53.5,.,66.1,66
2013,Chilko R,42,53.5,.,66.1,66
2013,Chilko R,42,53.7,.,66.4,66
2013,Chilko R,42,53.8,.,66.5,66
2013,Chilko R,42,53.9,.,66.6,67
2013,Chilko R,42,53.9,.,66.6,67
2013,Chilko R,42,53.9,.,66.6,67
2013,Chilko R,42,54,.,66.7,67
2013,Chilko R,42,54,.,66.7,67
2013,Chilko R,42,54,.,66.7,67
2013,Chilko R,42,54.1,.,66.9,67
2013,Chilko R,42,54.1,.,66.9,67
2013,Chilko R,42,54.1,.,66.9,67
2013,Chilko R,42,54.1,.,66.9,67
2013,Chilko R,42,54.1,.,66.9,67
2013,Chilko R,42,54.2,.,67.0,67
2013,Chilko R,42,54.2,.,67.0,67
2013,Chilko R,42,54.3,.,67.1,67
2013,Chilko R,42,54.3,.,67.1,67
2013,Chilko R,42,54.3,.,67.1,67
2013,Chilko R,42,54.3,.,67.1,67
2013,Chilko R,42,54.3,.,67.1,67
2013,Chilko R,42,54.4,.,67.2,67
2013,Chilko R,42,54.5,.,67.4,67
2013,Chilko R,42,54.5,.,67.4,67
2013,Chilko R,42,54.5,.,67.4,67
2013,Chilko R,42,54.6,.,67.5,67
2013,Chilko R,42,54.6,.,67.5,67
2013,Chilko R,42,54.6,.,67.5,67
2013,Chilko R,42,54.6,.,67.5,67
2013,Chilko R,42,54.7,.,67.6,68
2013,Chilko R,42,54.7,.,67.6,68
2013,Chilko R,42,54.8,.,67.7,68
2013,Chilko R,42,54.8,.,67.7,68
2013,Chilko R,42,54.9,.,67.9,68
2013,Chilko R,42,55,.,68.0,68
2013,Chilko R,42,55,.,68.0,68
2013,Chilko R,42,55,.,68.0,68
2013,Chilko R,42,55.1,.,68.1,68
2013,Chilko R,42,55.2,.,68.2,68
2013,Chilko R,42,55.2,.,68.2,68
2013,Chilko R,42,55.4,.,68.5,68
2013,Chilko R,42,55.4,.,68.5,68
2013,Chilko R,42,55.4,.,68.5,68
2013,Chilko R,42,55.5,.,68.6,69
2013,Chilko R,42,55.5,.,68.6,69
2013,Chilko R,42,55.6,.,68.7,69
2013,Chilko R,42,55.6,.,68.7,69
2013,Chilko R,42,55.6,.,68.7,69
2013,Chilko R,42,55.7,.,68.8,69
2013,Chilko R,42,55.8,.,69.0,69
2013,Chilko R,42,55.8,.,69.0,69
2013,Chilko R,42,55.8,.,69.0,69
2013,Chilko R,42,55.8,.,69.0,69
2013,Chilko R,42,55.8,.,69.0,69
2013,Chilko R,42,55.9,.,69.1,69
2013,Chilko R,42,56,.,69.2,69
2013,Chilko R,42,56,.,69.2,69
2013,Chilko R,42,56,.,69.2,69
2013,Chilko R,42,56.1,.,69.3,69
2013,Chilko R,42,56.1,.,69.3,69
2013,Chilko R,42,56.1,.,69.3,69
2013,Chilko R,42,56.1,.,69.3,69
