Year,Swift,Fraser,Horsey,Nevin,Holmes,McKale,Twin,Goat,Morkill,Walker,Torpy,Dome,Slim,Bowron,McGregor,Willow,Salmon (PG),Stuart,Nechako,Stellako,Endako,Chilako,Blackwater,Cottonwood,Quesnel,Cariboo,Horsefly,Chilko,Chilcotin Upper,Chilcotin Lower,Elkin,Taseko,Bridge,Portage,Seton,Mahood,Clearwater,Finn,Raft,Barriere,Louis,North Thompson,Bessette,Middle Shuswap,Lower Shuswap,Eagle,Salmon (ST),Adams,Little River,South Thompson,Lower Thompson,Deadman,Bonaparte,Coldwater,Spius,Nicola,Nahatlatch,Maria Slough,Birkenhead,Harrison,Chilliwack,Pitt,Blue,Lemieux,Upper Adams,Scotch,Seymour,Stave,Baker ,Big Silver,Chilliwack Su,Douglas,Holliday,Kazchek,Kuzkwa,Narcosli,Naver,Pinchi,Sloquet,Small,Tipella,Wap,McKinley,Chehalis,   Total
1989.00,1066.00,6475.00,125.00,76.00,1919.00,44.00,25.00,64.00,508.00,96.00,2421.00,175.00,2603.00,9399.00,2148.00,1732.00,570.00,2091.00,3552.00,17.00,267.00,64.00,844.00,1001.00,4456.00,1519.00,490.00,4354.00,395.00,5111.00,244.00,0.00,955.00,428.00,184.00,233.00,3526.00,1373.00,964.00,309.00,408.00,2018.00,328.00,2981.00,24867.00,1230.00,2136.00,1761.00,515.00,13202.00,5003.00,827.00,1363.00,1541.00,849.00,6632.00,61.00,71.00,594.00,77157.00,3684.00,409.00,24.00,12.00,58.00,4.00,55.00,314.00,344.00,60.00,1241.00,11.00,47.00,4.00,88.00,31.00,352.00,13.00,45.00,55.00,0.00,23.00,81.00,909.00,213231.00
1990.00,1347.00,6841.00,112.00,22.00,2358.00,45.00,79.00,112.00,1123.00,225.00,2245.00,546.00,5674.00,8846.00,1870.00,2287.00,810.00,7618.00,3224.00,0.00,87.00,714.00,1003.00,1425.00,8773.00,3201.00,1190.00,8831.00,654.00,4831.00,293.00,0.00,471.00,290.00,85.00,631.00,9651.00,1407.00,658.00,120.00,78.00,1869.00,332.00,6360.00,30952.00,1877.00,1279.00,1915.00,526.00,7949.00,6350.00,666.00,731.00,808.00,210.00,4366.00,59.00,33.00,417.00,181019.00,2120.00,476.00,38.00,0.00,61.00,5.00,66.00,711.00,428.00,102.00,2319.00,18.00,52.00,8.00,0.00,428.00,143.00,0.00,77.00,94.00,0.00,24.00,332.00,1902.00,346899.00
1991.00,755.00,5483.00,63.00,71.00,1951.00,18.00,54.00,138.00,1284.00,131.00,2584.00,885.00,3407.00,6862.00,1905.00,835.00,403.00,9273.00,2976.00,29.00,285.00,171.00,742.00,1141.00,5792.00,2167.00,645.00,11095.00,315.00,6705.00,792.00,0.00,292.00,301.00,86.00,24.00,3048.00,622.00,549.00,62.00,12.00,2648.00,330.00,8831.00,20327.00,1286.00,1053.00,2855.00,285.00,9235.00,5422.00,754.00,3314.00,483.00,395.00,6037.00,83.00,167.00,287.00,94000.00,11080.00,156.00,0.00,0.00,14.00,5.00,81.00,403.00,456.00,76.00,847.00,14.00,42.00,6.00,147.00,342.00,342.00,22.00,58.00,77.00,0.00,25.00,75.00,1433.00,247446.00
1992.00,1201.00,3731.00,110.00,90.00,2612.00,18.00,61.00,122.00,2196.00,606.00,3166.00,669.00,2014.00,6645.00,6821.00,903.00,339.00,16033.00,2646.00,34.00,16.00,190.00,900.00,2720.00,3949.00,1208.00,436.00,13704.00,433.00,4356.00,588.00,0.00,1022.00,96.00,149.00,270.00,2713.00,691.00,295.00,185.00,9.00,2188.00,126.00,7383.00,25720.00,1652.00,384.00,1346.00,630.00,12711.00,6121.00,509.00,2602.00,2202.00,495.00,7798.00,111.00,212.00,1002.00,133935.00,41660.00,307.00,44.00,54.00,63.00,4.00,58.00,676.00,309.00,101.00,2339.00,18.00,50.00,7.00,167.00,247.00,495.00,25.00,77.00,77.00,0.00,27.00,80.00,1884.00,339843.00
1993.00,1495.00,4028.00,194.00,114.00,2957.00,55.00,86.00,78.00,1306.00,209.00,1426.00,961.00,1606.00,9147.00,3487.00,816.00,60.00,1356.00,870.00,22.00,28.00,35.00,1071.00,6408.00,6716.00,3226.00,244.00,8699.00,492.00,6192.00,549.00,0.00,1133.00,436.00,222.00,129.00,3595.00,1659.00,240.00,63.00,36.00,3052.00,429.00,4745.00,13276.00,1475.00,2467.00,1154.00,2674.00,5163.00,3089.00,2521.00,5421.00,2962.00,1793.00,7081.00,236.00,114.00,379.00,122111.00,21974.00,188.00,8.00,5.00,194.00,4.00,7.00,555.00,430.00,65.00,1503.00,12.00,59.00,5.00,114.00,358.00,358.00,17.00,49.00,61.00,0.00,14.00,123.00,495.00,278186.00
1994.00,1139.00,4913.00,232.00,113.00,2349.00,70.00,54.00,369.00,1558.00,299.00,2418.00,890.00,2893.00,13042.00,2261.00,1511.00,878.00,2909.00,1304.00,11.00,236.00,157.00,1369.00,6022.00,2501.00,2500.00,4683.00,7294.00,663.00,12048.00,574.00,0.00,725.00,41.00,86.00,218.00,6971.00,2189.00,1147.00,61.00,833.00,5092.00,327.00,6126.00,38163.00,1380.00,1566.00,1593.00,633.00,2828.00,6031.00,2194.00,6590.00,612.00,636.00,13155.00,39.00,230.00,520.00,101442.00,9117.00,402.00,55.00,5.00,64.00,6.00,82.00,429.00,321.00,74.00,1178.00,13.00,75.00,6.00,36.00,449.00,321.00,17.00,56.00,81.00,0.00,25.00,246.00,1155.00,292901.00
1995.00,2084.00,6578.00,218.00,162.00,3446.00,28.00,0.00,495.00,391.00,111.00,1760.00,796.00,5272.00,9426.00,2183.00,992.00,994.00,4379.00,1959.00,27.00,145.00,308.00,1040.00,2815.00,5325.00,1022.00,204.00,12914.00,446.00,6498.00,876.00,0.00,1060.00,13.00,73.00,156.00,6385.00,969.00,1539.00,36.00,1270.00,3516.00,413.00,4872.00,23160.00,815.00,803.00,2907.00,234.00,8600.00,5102.00,1213.00,6184.00,2165.00,1245.00,13991.00,92.00,159.00,235.00,29162.00,32914.00,304.00,41.00,43.00,164.00,5.00,61.00,239.00,335.00,86.00,1994.00,16.00,10.00,6.00,141.00,335.00,168.00,22.00,65.00,0.00,0.00,18.00,90.00,1237.00,227557.00
1996.00,1892.00,3185.00,28.00,36.00,3425.00,0.00,93.00,548.00,622.00,403.00,915.00,772.00,2269.00,4601.00,3564.00,1505.00,1115.00,8276.00,2169.00,21.00,193.00,464.00,806.00,2508.00,4744.00,2140.00,429.00,20541.00,1061.00,4002.00,1390.00,0.00,2296.00,308.00,72.00,475.00,9440.00,1834.00,946.00,17.00,634.00,2782.00,622.00,7186.00,43374.00,855.00,788.00,2684.00,3449.00,25238.00,9940.00,2646.00,6237.00,2733.00,1174.00,23185.00,11.00,117.00,425.00,38981.00,25578.00,237.00,0.00,18.00,258.00,4.00,47.00,249.00,198.00,121.00,2811.00,22.00,17.00,0.00,22.00,198.00,198.00,30.00,92.00,53.00,0.00,32.00,69.00,1437.00,293857.00
1997.00,1510.00,2732.00,140.00,57.00,3344.00,49.00,0.00,288.00,691.00,117.00,1310.00,821.00,3380.00,7732.00,2255.00,2187.00,641.00,7432.00,2314.00,39.00,82.00,314.00,942.00,4452.00,6294.00,2299.00,129.00,20190.00,605.00,7116.00,911.00,0.00,2254.00,32.00,65.00,314.00,9980.00,862.00,1389.00,231.00,740.00,2708.00,110.00,5681.00,31564.00,1053.00,673.00,5393.00,2080.00,42285.00,10175.00,2064.00,13813.00,1256.00,1582.00,12681.00,34.00,146.00,962.00,73251.00,85335.00,276.00,0.00,62.00,360.00,4.00,55.00,612.00,391.00,129.00,2995.00,23.00,57.00,9.00,56.00,336.00,479.00,13.00,98.00,34.00,0.00,89.00,101.00,2998.00,398263.00
1998.00,1812.00,1539.00,94.00,247.00,1900.00,31.00,135.00,285.00,2795.00,579.00,3518.00,607.00,2508.00,8669.00,3594.00,1896.00,1366.00,5453.00,2167.00,17.00,248.00,72.00,1019.00,3625.00,6209.00,559.00,25.00,18082.00,1013.00,2593.00,727.00,0.00,698.00,171.00,61.00,391.00,8360.00,488.00,468.00,198.00,366.00,2487.00,199.00,6475.00,41033.00,1182.00,375.00,4730.00,1345.00,45412.00,12165.00,1311.00,3708.00,994.00,1114.00,2853.00,9.00,193.00,803.00,201642.00,89862.00,229.00,128.00,52.00,114.00,4.00,50.00,892.00,644.00,96.00,1654.00,17.00,28.00,0.00,175.00,224.00,1574.00,2.00,73.00,25.00,0.00,129.00,20.00,1004.00,509611.00
1999.00,473.00,2545.00,18.00,57.00,647.00,29.00,52.00,107.00,736.00,254.00,1865.00,419.00,1506.00,4249.00,2134.00,876.00,1072.00,6174.00,2751.00,26.00,209.00,254.00,1039.00,1353.00,1918.00,518.00,30.00,13078.00,612.00,5805.00,571.00,0.00,1463.00,148.00,63.00,109.00,4801.00,676.00,1328.00,154.00,481.00,3896.00,482.00,3867.00,57062.00,788.00,411.00,2491.00,1231.00,15219.00,1917.00,1250.00,3430.00,925.00,555.00,11298.00,52.00,229.00,260.00,106184.00,83303.00,158.00,14.00,228.00,122.00,3.00,35.00,530.00,65.00,64.00,1487.00,12.00,30.00,0.00,170.00,309.00,99.00,18.00,49.00,43.00,0.00,114.00,154.00,797.00,359951.00
2000.00,693.00,2924.00,183.00,87.00,2482.00,45.00,73.00,296.00,975.00,349.00,2049.00,383.00,2125.00,3379.00,3089.00,1651.00,883.00,2198.00,4076.00,33.00,216.00,41.00,586.00,2231.00,2397.00,464.00,210.00,12601.00,471.00,5804.00,595.00,488.00,1107.00,63.00,76.00,284.00,5640.00,1883.00,1079.00,93.00,1277.00,13811.00,113.00,4112.00,34855.00,1361.00,604.00,2873.00,2527.00,13338.00,3483.00,1109.00,8975.00,1643.00,2170.00,12901.00,47.00,333.00,619.00,79584.00,73262.00,193.00,290.00,136.00,71.00,3.00,46.00,420.00,521.00,91.00,2114.00,17.00,21.00,0.00,165.00,403.00,427.00,53.00,69.00,41.00,0.00,46.00,37.00,930.00,329393.00
2001.00,1509.00,4706.00,144.00,85.00,1494.00,13.00,73.00,610.00,1127.00,257.00,2604.00,538.00,2778.00,6826.00,3426.00,1097.00,567.00,2439.00,6616.00,37.00,358.00,365.00,1109.00,1520.00,2916.00,617.00,328.00,14217.00,588.00,2892.00,535.00,773.00,394.00,279.00,17.00,208.00,4666.00,1462.00,287.00,453.00,766.00,14020.00,555.00,4736.00,44390.00,1750.00,1785.00,6736.00,10960.00,27209.00,7159.00,1911.00,11197.00,2341.00,1941.00,13048.00,108.00,458.00,1009.00,111057.00,79633.00,222.00,113.00,135.00,128.00,4.00,48.00,821.00,1385.00,99.00,2302.00,18.00,110.00,0.00,267.00,739.00,463.00,14.00,76.00,52.00,0.00,220.00,232.00,1830.00,422977.00
2002.00,1776.00,4849.00,361.00,152.00,4282.00,140.00,84.00,941.00,0.00,434.00,2945.00,646.00,3388.00,8145.00,4238.00,1179.00,676.00,5600.00,4215.00,0.00,332.00,382.00,825.00,1947.00,6230.00,1335.00,454.00,14280.00,867.00,3763.00,503.00,0.00,1362.00,465.00,12.00,194.00,6950.00,626.00,533.00,461.00,756.00,3151.00,288.00,9029.00,66091.00,1875.00,1128.00,3421.00,3007.00,48593.00,19461.00,697.00,11975.00,2624.00,1726.00,15763.00,196.00,998.00,711.00,85017.00,80067.00,285.00,618.00,179.00,40.00,5.00,63.00,154.00,607.00,90.00,641.00,50.00,145.00,0.00,378.00,215.00,406.00,0.00,106.00,276.00,0.00,174.00,96.00,1304.00,447978.00
2003.00,1110.00,3438.00,383.00,496.00,5251.00,63.00,206.00,733.00,313.00,687.00,5745.00,621.00,4203.00,11718.00,5089.00,1962.00,2701.00,8029.00,5785.00,0.00,320.00,436.00,2254.00,2425.00,6572.00,2614.00,269.00,25862.00,1231.00,5837.00,1145.00,0.00,1408.00,187.00,12.00,1123.00,7812.00,54.00,359.00,162.00,382.00,2386.00,242.00,7226.00,50129.00,1868.00,181.00,2339.00,2899.00,45927.00,13113.00,3037.00,15182.00,2827.00,2722.00,19461.00,96.00,902.00,688.00,249511.00,58854.00,187.00,392.00,0.00,181.00,6.00,169.00,1139.00,653.00,138.00,1966.00,0.00,62.00,4.00,405.00,901.00,754.00,18.00,99.00,241.00,0.00,58.00,19.00,2058.00,608037.00
2004.00,740.00,2820.00,88.00,336.00,1945.00,96.00,144.00,258.00,1477.00,390.00,3855.00,319.00,3128.00,11446.00,4571.00,2581.00,2294.00,0.00,7232.00,7.00,253.00,171.00,807.00,1938.00,4155.00,431.00,517.00,24497.00,356.00,2271.00,1152.00,642.00,2105.00,115.00,65.00,481.00,7195.00,892.00,1096.00,465.00,212.00,2934.00,256.00,2945.00,25906.00,1396.00,637.00,2198.00,7355.00,37443.00,10819.00,2055.00,11884.00,2178.00,3921.00,16716.00,73.00,306.00,293.00,141688.00,62914.00,253.00,247.00,270.00,340.00,5.00,66.00,1148.00,426.00,99.00,960.00,9.00,76.00,13.00,403.00,342.00,437.00,40.00,170.00,7.00,1.00,48.00,89.00,2233.00,435142.00
2005.00,547.00,3236.00,55.00,121.00,1273.00,122.00,110.00,237.00,612.00,158.00,1611.00,372.00,2827.00,6061.00,1964.00,1288.00,809.00,4067.00,4061.00,274.00,338.00,497.00,414.00,1068.00,4011.00,652.00,598.00,10290.00,250.00,2827.00,548.00,517.00,557.00,104.00,7.00,328.00,4483.00,294.00,162.00,275.00,104.00,1244.00,236.00,3311.00,22847.00,577.00,613.00,4610.00,10602.00,74072.00,14251.00,857.00,9190.00,399.00,660.00,5662.00,51.00,469.00,2005.00,91576.00,40434.00,191.00,120.00,53.00,155.00,3.00,39.00,1326.00,350.00,143.00,872.00,0.00,27.00,5.00,328.00,281.00,358.00,49.00,46.00,17.00,0.00,67.00,51.00,1291.00,347567.00
2006.00,933.00,2735.00,212.00,248.00,2071.00,16.00,143.00,246.00,788.00,330.00,1743.00,343.00,2857.00,5168.00,1884.00,1538.00,677.00,5412.00,8119.00,0.00,155.00,359.00,484.00,1235.00,3049.00,1115.00,413.00,7215.00,342.00,1965.00,783.00,1161.00,212.00,292.00,6.00,248.00,4508.00,295.00,179.00,254.00,581.00,9407.00,348.00,6927.00,69279.00,721.00,902.00,7007.00,9273.00,110692.00,24332.00,2042.00,3324.00,1142.00,1262.00,8352.00,54.00,341.00,1675.00,61131.00,57086.00,214.00,283.00,54.00,189.00,3.00,40.00,428.00,51.00,218.00,1965.00,0.00,103.00,7.00,132.00,99.00,353.00,20.00,131.00,86.00,0.00,125.00,52.00,1526.00,441690.00
2007.00,458.00,1331.00,31.00,58.00,1053.00,24.00,28.00,158.00,569.00,220.00,1226.00,246.00,857.00,2392.00,1428.00,495.00,350.00,2684.00,1971.00,0.00,65.00,158.00,332.00,661.00,2158.00,734.00,67.00,6457.00,181.00,715.00,351.00,202.00,197.00,150.00,18.00,94.00,2526.00,96.00,49.00,135.00,55.00,1664.00,6.00,1710.00,21174.00,496.00,379.00,3727.00,8607.00,54621.00,10458.00,480.00,1776.00,244.00,161.00,1936.00,31.00,767.00,2656.00,79725.00,29077.00,104.00,177.00,6.00,25.00,2.00,21.00,406.00,169.00,65.00,819.00,6.00,8.00,4.00,139.00,136.00,174.00,24.00,27.00,108.00,0.00,56.00,31.00,659.00,253841.00
2008.00,580.00,2341.00,0.00,27.00,617.00,25.00,46.00,198.00,253.00,256.00,1284.00,301.00,1767.00,4390.00,1696.00,841.00,656.00,3762.00,5821.00,2.00,379.00,172.00,517.00,284.00,2438.00,630.00,125.00,7366.00,335.00,2949.00,516.00,493.00,289.00,232.00,5.00,66.00,4392.00,135.00,482.00,123.00,149.00,1664.00,100.00,2495.00,21292.00,920.00,760.00,4434.00,13846.00,72019.00,18379.00,1979.00,8088.00,764.00,482.00,6710.00,42.00,781.00,302.00,42412.00,45684.00,202.00,196.00,67.00,190.00,8.00,32.00,329.00,95.00,22.00,789.00,0.00,8.00,44.00,802.00,61.00,180.00,75.00,12.00,0.00,0.00,67.00,27.00,2103.00,295402.00
2009.00,1089.00,4338.00,161.00,246.00,3076.00,167.00,277.00,440.00,1865.00,690.00,2781.00,507.00,4216.00,6566.00,3193.00,1325.00,959.00,4685.00,2953.00,4.00,221.00,251.00,683.00,759.00,2346.00,1108.00,270.00,12684.00,357.00,1442.00,691.00,1539.00,326.00,95.00,7.00,266.00,7772.00,132.00,241.00,46.00,12.00,3282.00,37.00,2578.00,32937.00,859.00,495.00,7893.00,8795.00,56317.00,14108.00,339.00,2188.00,125.00,522.00,1154.00,22.00,732.00,839.00,71896.00,21003.00,110.00,91.00,22.00,101.00,4.00,21.00,502.00,318.00,42.00,1141.00,13.00,122.00,23.00,237.00,256.00,325.00,31.00,56.00,25.00,0.00,6.00,12.00,1372.00,301737.00
2010.00,454.00,1848.00,82.00,70.00,258.00,35.00,28.00,91.00,584.00,92.00,1100.00,313.00,1807.00,3818.00,939.00,777.00,377.00,3568.00,8096.00,8.00,340.00,93.00,662.00,856.00,2709.00,975.00,284.00,9112.00,174.00,3256.00,1308.00,657.00,84.00,127.00,5.00,7.00,1309.00,90.00,146.00,150.00,166.00,476.00,243.00,6494.00,82594.00,2194.00,860.00,11062.00,14231.00,68350.00,13083.00,1404.00,3658.00,356.00,273.00,7012.00,2.00,671.00,2003.00,104480.00,88611.00,87.00,191.00,40.00,62.00,30.00,74.00,251.00,159.00,34.00,1361.00,11.00,17.00,0.00,257.00,128.00,163.00,10.00,45.00,5.00,0.00,18.00,0.00,1106.00,458961.00
2011.00,427.00,1396.00,58.00,104.00,510.00,42.00,21.00,66.00,85.00,98.00,842.00,207.00,1067.00,3308.00,724.00,880.00,705.00,4368.00,6397.00,5.00,148.00,132.00,441.00,388.00,2011.00,610.00,207.00,11682.00,68.00,1611.00,574.00,1864.00,157.00,72.00,39.00,90.00,1772.00,157.00,52.00,158.00,79.00,1105.00,11.00,1742.00,27802.00,728.00,270.00,5665.00,22170.00,110918.00,16171.00,608.00,2642.00,281.00,50.00,4370.00,16.00,1758.00,1252.00,126548.00,57608.00,183.00,393.00,0.00,95.00,8.00,45.00,701.00,168.00,70.00,1282.00,10.00,13.00,0.00,58.00,23.00,107.00,8.00,42.00,49.00,0.00,3.00,4.00,1746.00,430345.00
2012.00,230.00,984.00,53.00,43.00,229.00,6.00,57.00,39.00,7.00,45.00,691.00,186.00,2000.00,3346.00,927.00,615.00,172.00,2638.00,1703.00,0.00,94.00,43.00,442.00,527.00,2458.00,394.00,69.00,6124.00,83.00,1547.00,329.00,194.00,758.00,38.00,8.00,68.00,3106.00,178.00,250.00,289.00,199.00,358.00,20.00,525.00,6988.00,800.00,469.00,4059.00,9949.00,47207.00,6105.00,1284.00,4349.00,898.00,749.00,8022.00,91.00,380.00,811.00,45133.00,23251.00,106.00,205.00,30.00,141.00,0.00,26.00,50.00,99.00,98.00,743.00,5.00,28.00,11.00,62.00,80.00,102.00,4.00,23.00,5.00,0.00,39.00,3.00,570.00,195047.00
