Year,Swift,Fraser,Horsey,Nevin,Holmes,McKale,Twin,Goat,Morkill,Walker,Torpy,Dome,Slim,Bowron,McGregor,Willow,Salmon (PG),Stuart,Nechako,Stellako,Endako,Chilako,Blackwater,Cottonwood,Quesnel,Cariboo,Horsefly,Chilko,Chilcotin Upper,Chilcotin Lower,Elkin,Taseko,Bridge,Portage,Seton,Mahood,Clearwater,Finn,Raft,Barriere,Louis,North Thompson,Bessette,Middle Shuswap,Lower Shuswap,Eagle,Salmon (ST),Adams,Little River,South Thompson,Lower Thompson,Deadman,Bonaparte,Coldwater,Spius,Nicola,Nahatlatch,Maria Slough,Birkenhead,Harrison,Chilliwack,Pitt,Blue,Lemieux,Upper Adams,Scotch,Seymour,Stave,Baker ,Big Silver,Chilliwack Su,Douglas,Holliday,Kazchek,Kuzkwa,Narcosli,Naver,Pinchi,Sloquet,Small,Tipella,Wap,McKinley,Chehalis,   Total
1979.00,1037.00,3680.00,74.00,56.00,1227.00,28.00,69.00,42.00,566.00,535.00,2085.00,518.00,3181.00,3319.00,4009.00,1709.00,1426.00,1397.00,3252.00,135.00,165.00,805.00,870.00,709.00,1849.00,709.00,629.00,7707.00,569.00,4918.00,392.00,0.00,382.00,421.00,117.00,474.00,2749.00,795.00,303.00,26.00,124.00,2159.00,141.00,1219.00,31320.00,616.00,752.00,1953.00,1252.00,10732.00,5314.00,190.00,0.00,2757.00,460.00,10314.00,43.00,138.00,577.00,81632.00,72.00,299.00,28.00,0.00,62.00,3.00,23.00,314.00,444.00,138.00,994.00,9.00,47.00,47.00,140.00,356.00,454.00,46.00,36.00,67.00,0.00,25.00,54.00,728.00,209013.00
1980.00,529.00,4532.00,30.00,17.00,678.00,6.00,0.00,118.00,606.00,333.00,760.00,304.00,2186.00,2695.00,1060.00,631.00,556.00,2268.00,2425.00,58.00,58.00,730.00,640.00,930.00,2987.00,750.00,394.00,6477.00,601.00,2470.00,285.00,0.00,83.00,341.00,347.00,194.00,3321.00,703.00,233.00,17.00,144.00,1096.00,84.00,790.00,9685.00,286.00,411.00,981.00,1594.00,11959.00,7082.00,426.00,128.00,2361.00,665.00,7949.00,215.00,230.00,485.00,69899.00,93.00,216.00,23.00,12.00,22.00,2.00,25.00,250.00,452.00,32.00,1156.00,10.00,27.00,3.00,31.00,363.00,463.00,11.00,0.00,121.00,0.00,7.00,39.00,846.00,162027.00
1981.00,469.00,2885.00,31.00,8.00,650.00,16.00,16.00,32.00,241.00,229.00,824.00,17.00,2168.00,2402.00,1204.00,786.00,270.00,213.00,4042.00,36.00,53.00,317.00,367.00,502.00,1306.00,450.00,292.00,6308.00,229.00,1449.00,295.00,0.00,616.00,317.00,102.00,303.00,4508.00,1545.00,289.00,145.00,203.00,3349.00,87.00,1003.00,12666.00,396.00,579.00,1114.00,628.00,9425.00,3372.00,48.00,48.00,497.00,249.00,6460.00,45.00,31.00,283.00,109090.00,72.00,364.00,0.00,22.00,0.00,0.00,0.00,418.00,160.00,148.00,1016.00,9.00,21.00,3.00,20.00,129.00,164.00,13.00,37.00,41.00,0.00,13.00,33.00,744.00,188932.00
1982.00,756.00,2773.00,20.00,53.00,1208.00,53.00,27.00,67.00,478.00,236.00,401.00,110.00,2689.00,2507.00,2115.00,773.00,506.00,1608.00,3702.00,28.00,94.00,227.00,418.00,427.00,2891.00,1037.00,715.00,10215.00,208.00,1378.00,549.00,0.00,170.00,634.00,180.00,528.00,6315.00,2437.00,732.00,0.00,226.00,4934.00,25.00,1270.00,6406.00,1044.00,1152.00,1105.00,226.00,7898.00,2981.00,1025.00,256.00,1301.00,325.00,7915.00,27.00,86.00,949.00,130630.00,86.00,326.00,169.00,8.00,22.00,0.00,37.00,506.00,160.00,31.00,1188.00,38.00,22.00,7.00,40.00,129.00,164.00,26.00,38.00,106.00,0.00,8.00,57.00,870.00,223084.00
1983.00,921.00,5755.00,132.00,60.00,1464.00,20.00,13.00,13.00,721.00,167.00,1328.00,100.00,2681.00,6803.00,1148.00,1163.00,334.00,692.00,1577.00,0.00,76.00,130.00,609.00,1319.00,2850.00,981.00,403.00,8744.00,361.00,2045.00,436.00,0.00,261.00,205.00,76.00,371.00,4979.00,888.00,217.00,81.00,33.00,3240.00,140.00,510.00,7305.00,320.00,447.00,442.00,256.00,7668.00,4420.00,244.00,48.00,1148.00,214.00,3632.00,36.00,72.00,871.00,45089.00,196.00,313.00,113.00,12.00,16.00,0.00,0.00,160.00,271.00,89.00,1026.00,18.00,33.00,0.00,17.00,217.00,277.00,0.00,18.00,101.00,0.00,6.00,59.00,751.00,129952.00
1984.00,1354.00,7187.00,282.00,68.00,1982.00,14.00,51.00,147.00,169.00,454.00,1696.00,229.00,2178.00,7106.00,1832.00,482.00,899.00,851.00,3441.00,0.00,453.00,185.00,690.00,1062.00,3743.00,1030.00,362.00,6748.00,333.00,2029.00,449.00,0.00,750.00,555.00,469.00,675.00,4702.00,2345.00,764.00,115.00,121.00,1928.00,187.00,1341.00,13169.00,1141.00,994.00,1277.00,576.00,13829.00,6846.00,1979.00,996.00,821.00,352.00,5566.00,64.00,50.00,671.00,132904.00,899.00,0.00,23.00,15.00,36.00,3.00,18.00,501.00,281.00,83.00,1214.00,11.00,36.00,0.00,0.00,226.00,288.00,0.00,44.00,255.00,0.00,13.00,82.00,889.00,247610.00
1985.00,1343.00,6973.00,364.00,112.00,2696.00,6.00,56.00,95.00,449.00,562.00,1684.00,506.00,5711.00,9973.00,4748.00,1798.00,418.00,4764.00,3785.00,43.00,379.00,215.00,981.00,1684.00,3681.00,1836.00,323.00,6848.00,491.00,3109.00,564.00,0.00,1109.00,296.00,159.00,399.00,6119.00,1743.00,768.00,73.00,293.00,2297.00,367.00,1621.00,17536.00,1586.00,1858.00,1318.00,705.00,10970.00,3525.00,1747.00,931.00,2882.00,140.00,8090.00,288.00,353.00,761.00,179672.00,2100.00,0.00,101.00,33.00,45.00,5.00,61.00,706.00,397.00,54.00,1773.00,15.00,53.00,8.00,0.00,319.00,112.00,0.00,65.00,77.00,0.00,16.00,109.00,1298.00,321150.00
1986.00,1006.00,7119.00,196.00,140.00,3358.00,45.00,56.00,168.00,1120.00,1118.00,3359.00,501.00,6034.00,14272.00,4694.00,1770.00,495.00,3984.00,3248.00,89.00,334.00,178.00,1191.00,1660.00,12913.00,1798.00,283.00,9718.00,589.00,5831.00,470.00,0.00,940.00,184.00,203.00,609.00,7395.00,1713.00,796.00,6.00,178.00,3172.00,359.00,1818.00,26460.00,1457.00,985.00,3466.00,499.00,9262.00,6408.00,1205.00,1620.00,2861.00,620.00,9514.00,117.00,147.00,275.00,179900.00,5193.00,317.00,23.00,28.00,53.00,6.00,75.00,729.00,494.00,32.00,2165.00,19.00,66.00,8.00,161.00,397.00,113.00,3.00,79.00,137.00,0.00,20.00,113.00,1585.00,361722.00
1987.00,1212.00,3849.00,242.00,130.00,3535.00,18.00,124.00,190.00,2382.00,586.00,3317.00,340.00,4156.00,16306.00,4811.00,1961.00,761.00,6162.00,2330.00,56.00,601.00,260.00,1298.00,3795.00,6594.00,1448.00,275.00,11015.00,720.00,6463.00,495.00,0.00,789.00,122.00,192.00,363.00,4343.00,1790.00,732.00,56.00,43.00,3233.00,0.00,2815.00,21058.00,1340.00,743.00,2619.00,261.00,11131.00,5250.00,718.00,690.00,1286.00,862.00,5854.00,80.00,5.00,233.00,82034.00,18439.00,366.00,58.00,0.00,49.00,6.00,75.00,386.00,605.00,85.00,1771.00,0.00,68.00,6.00,12.00,211.00,141.00,22.00,65.00,138.00,0.00,19.00,113.00,1296.00,258005.00
1988.00,1779.00,4386.00,214.00,163.00,3134.00,87.00,82.00,128.00,2108.00,924.00,2332.00,234.00,5587.00,7788.00,3626.00,2199.00,1306.00,3626.00,3171.00,56.00,354.00,383.00,1085.00,1585.00,7088.00,2271.00,275.00,10132.00,641.00,6526.00,348.00,0.00,720.00,250.00,146.00,801.00,7931.00,2074.00,895.00,112.00,119.00,2509.00,76.00,2634.00,27880.00,1390.00,1392.00,1799.00,483.00,14708.00,8338.00,1583.00,1063.00,550.00,437.00,4411.00,53.00,71.00,615.00,38206.00,16592.00,878.00,61.00,11.00,62.00,5.00,63.00,208.00,492.00,85.00,1778.00,16.00,58.00,7.00,120.00,395.00,504.00,149.00,65.00,120.00,0.00,26.00,97.00,1301.00,217957.00
