year,abundance_index,aabm_fishery
1999,1.12,seak
2000,1.1,seak
2001,1.29,seak
2002,1.82,seak
2003,2.17,seak
2004,2.06,seak
2005,1.9,seak
2006,1.73,seak
2007,1.34,seak
2008,1.01,seak
2009,1.2,seak
2010,1.31,seak
2011,1.62,seak
2012,1.24,seak
2013,1.63,seak
2014,2.2,seak
2015,1.95,seak
2016,1.65,seak
2017,1.31,seak
2018,0.92,seak
2019,1.04,seak
2020,1.11,seak
2021,1.23,seak
2022,1.04,seak
1999,0.97,nbc
2000,0.95,nbc
2001,1.22,nbc
2002,1.63,nbc
2003,1.9,nbc
2004,1.83,nbc
2005,1.65,nbc
2006,1.5,nbc
2007,1.1,nbc
2008,0.93,nbc
2009,1.07,nbc
2010,1.23,nbc
2011,1.41,nbc
2012,1.15,nbc
2013,1.51,nbc
2014,1.8,nbc
2015,1.69,nbc
2016,1.39,nbc
2017,1.14,nbc
2018,0.89,nbc
2019,0.94,nbc
2020,1.16,nbc
2021,1.21,nbc
2022,1.08,nbc
1999,0.5,wcvi
2000,0.47,wcvi
2001,0.68,wcvi
2002,0.92,wcvi
2003,1.1,wcvi
2004,0.98,wcvi
2005,0.84,wcvi
2006,0.68,wcvi
2007,0.57,wcvi
2008,0.64,wcvi
2009,0.61,wcvi
2010,0.95,wcvi
2011,0.9,wcvi
2012,0.76,wcvi
2013,1.04,wcvi
2014,1.12,wcvi
2015,1.05,wcvi
2016,0.7,wcvi
2017,0.64,wcvi
2018,0.59,wcvi
2019,0.58,wcvi
2020,0.67,wcvi
2021,0.73,wcvi
2022,0.99,wcvi
