year,abundance_index,aabm_fishery,,,,
1999,1.12,,,,,
2000,1.1,,,,,
2001,1.29,,,,,
2002,1.82,,,,,
2003,2.17,,,,,
2004,2.06,,,,,
2005,1.9,,,,,
2006,1,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
