StockAcr,Stock_ERA,StockName,SiteName,Country,MapRegion,GeoRegion,Lat,Long,RunTiming,JuvenileType,Point_label,Point_colour,Point_type,Project_Type
SPR,SPR,Spring Creek Tule,Spring Creek NFH,US,CR,MCOLR,45.7279,-121.5432,Fall,ocean,45,white,21,existing
HAN,HAN,Hanford Wild,Hanford Wild,US,CR,UCOLR,46.6486,-119,Fall,ocean,46,white,21,existing
SMK,SMK,Okanagan ,Similkameen and Omak Pond,US,CR,UCOLR,48.926901,-119.433745,Summer,ocean,47,cyan,21,new
LYF,LYF,Lyons Ferry,Lyons Ferry H,US,CR,SNAK,46.3546,-118.1335,Fall,ocean,50,white,21,existing
SUM,SUM,Columbia Summer,Wells H,US,CR,UCOLR,47.9469,-119.8706,Summer,ocean,48,cyan,21,existing
URB,URB,Upriver Brights,Priest Rapids H,US,CR,UCOLR,46.724,-120,Fall,ocean,49,white,21,existing
SRH,SRH,Salmon River,Salmon River H,US,OR,ORCST,45.0172,-123.9384,Fall,ocean,51,white,21,existing
ELK,ELK,Elk River,Elk River H,US,OR,ORCST,42.7388,-124.4039,Fall,ocean,52,white,21,new
UWA,UWA,University Washington accelerated,,US,WA,SPGSD,47.69597326,-122.3118313,Fall,ocean,NA,white,24,new
SQP,SQP,Squaxin Net Pens,,US,WA,SPGSD,47.12456568,-123.0832379,Fall,ocean,NA,white,24,new
