"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,1,2,7.33,0,621.47,0,0.06,0,19.5,0,0,0,0,0,0,0,0,0
1979,1,1,3,3500.89,0,247.23,0,28.01,0,7.76,0,0,0,0,0,0,0,0,0
1979,1,1,4,4911.38,0,6.58,0,39.29,0,0.21,0,0,0,0,0,0,0,0,0
1979,1,1,5,988.22,0,0.47,0,7.91,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,2,0,0,212.09,0,0,0,14.14,0,0,0,0,0,0,0,0,0
1979,1,4,3,0,0,75.38,0,0,0,5.03,0,0,0,0,0,0,0,0,0
1979,1,4,4,11.64,0,7.93,0,0.2,0,0.53,0,0,0,0,0,0,0,0,0
1979,1,4,5,0,0,0.41,0,0,0,0.03,0,0,0,0,0,0,0,0,0
1979,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,1,2,3.25,0,143.18,0,0.03,0,4.49,0,0,0,0,0,0,0,0,0
1979,2,1,3,251.62,0,64.17,0,2.01,0,2.01,0,0,0,0,0,0,0,0,0
1979,2,1,4,2050.05,0,1.83,0,16.4,0,0.06,0,0,0,0,0,0,0,0,0
1979,2,1,5,1042.78,0,0.19,0,8.34,0,0.01,0,0,0,0,0,0,0,0,0
