"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,2,2,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,2,3,0,78.67,0,13.35,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,2,4,0,240.81,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,2,5,0,239.82,0,8.47,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,1,2,0,0,1889,0,0,0,59.26,0,0,0,0,0,0,0,0,0
1979,4,1,3,135,0,1682.32,0,1.08,0,52.78,0,0,0,0,0,0,0,0,0
1979,4,1,4,5887.06,0,29.21,0,47.1,0,0.92,0,0,0,0,0,0,0,0,0
1979,4,1,5,2976.65,0,1.43,0,23.81,0,0.04,0,0,0,0,0,0,0,0,0
1979,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,18,2,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,18,3,0,855.9,0,56.75,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,18,4,0,714.16,0,10.89,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,18,5,0,133.11,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,19,2,0,11.9,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,19,3,0,490.84,0,36.72,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,19,4,0,422.37,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,19,5,0,176.92,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,1,2,19.74,0,670.41,0,0.16,0,21.03,0,0,0,0,0,0,0,0,0
1979,5,1,3,1805.76,0,568.8,0,14.45,0,17.84,0,0,0,0,0,0,0,0,0
1979,5,1,4,3499.85,0,16.97,0,28,0,0.53,0,0,0,0,0,0,0,0,0
1979,5,1,5,3721.74,0,1.42,0,29.77,0,0.04,0,0,0,0,0,0,0,0,0
1979,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,1,2,0,0,157.77,0,0,0,4.95,0,0,0,0,0,0,0,0,0
1979,6,1,3,0,0,117.89,0,0,0,3.7,0,0,0,0,0,0,0,0,0
1979,6,1,4,471.34,0,4.04,0,3.77,0,0.13,0,0,0,0,0,0,0,0,0
1979,6,1,5,627.84,0,0.5,0,5.02,0,0.02,0,0,0,0,0,0,0,0,0
1979,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,4,2,0,0,53.84,0,0,0,3.59,0,0,0,0,0,0,0,0,0
1979,6,4,3,0,0,35.95,0,0,0,2.4,0,0,0,0,0,0,0,0,0
1979,6,4,4,484.66,0,4.87,0,8.24,0,0.32,0,0,0,0,0,0,0,0,0
1979,6,4,5,151.35,0,0.44,0,2.57,0,0.03,0,0,0,0,0,0,0,0,0
1979,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,2,0,1.8,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,3,0,15.42,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,4,0,97.81,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,5,0,180.38,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,1,2,0,0,161.99,0,0,0,5.08,0,0,0,0,0,0,0,0,0
1979,7,1,3,17.76,0,143.33,0,0.14,0,4.5,0,0,0,0,0,0,0,0,0
1979,7,1,4,0,0,0.45,0,0,0,0.01,0,0,0,0,0,0,0,0,0
1979,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,4,2,0,0,55.28,0,0,0,3.69,0,0,0,0,0,0,0,0,0
1979,7,4,3,53.28,0,43.7,0,0.91,0,2.91,0,0,0,0,0,0,0,0,0
1979,7,4,4,0,0,0.54,0,0,0,0.04,0,0,0,0,0,0,0,0,0
1979,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,1,2,0,0,493.19,0,0,0,15.47,0,0,0,0,0,0,0,0,0
1979,9,1,3,407.08,0,351.49,0,3.26,0,11.03,0,0,0,0,0,0,0,0,0
1979,9,1,4,12927.82,0,30.63,0,103.42,0,0.96,0,0,0,0,0,0,0,0,0
1979,9,1,5,638.99,0,0.3,0,5.11,0,0.01,0,0,0,0,0,0,0,0,0
1979,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,4,2,0,0,168.31,0,0,0,11.22,0,0,0,0,0,0,0,0,0
1979,9,4,3,343.05,0,107.17,0,5.83,0,7.14,0,0,0,0,0,0,0,0,0
1979,9,4,4,3853.92,0,36.92,0,65.52,0,2.46,0,0,0,0,0,0,0,0,0
1979,9,4,5,117.22,0,0.27,0,1.99,0,0.02,0,0,0,0,0,0,0,0,0
1979,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,1,2,0,0,362.25,0,0,0,11.36,0,0,0,0,0,0,0,0,0
1979,10,1,3,391.97,0,249.66,0,3.14,0,7.83,0,0,0,0,0,0,0,0,0
1979,10,1,4,138.23,0,8.01,0,1.11,0,0.25,0,0,0,0,0,0,0,0,0
1979,10,1,5,0,0,0.24,0,0,0,0.01,0,0,0,0,0,0,0,0,0
1979,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,4,2,0,0,123.62,0,0,0,8.24,0,0,0,0,0,0,0,0,0
1979,10,4,3,261.31,0,76.12,0,4.44,0,5.07,0,0,0,0,0,0,0,0,0
1979,10,4,4,207.35,0,9.66,0,3.52,0,0.64,0,0,0,0,0,0,0,0,0
1979,10,4,5,0,0,0.21,0,0,0,0.01,0,0,0,0,0,0,0,0,0
1979,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,1,2,0,0,4213.37,0,0,0,132.18,0,0,0,0,0,0,0,0,0
1979,11,1,3,733.64,0,3414.17,0,5.87,0,107.11,0,0,0,0,0,0,0,0,0
1979,11,1,4,599.19,0,65.6,0,4.79,0,2.06,0,0,0,0,0,0,0,0,0
1979,11,1,5,0,0,2.59,0,0,0,0.08,0,0,0,0,0,0,0,0,0
1979,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,4,2,0,0,1437.88,0,0,0,95.86,0,0,0,0,0,0,0,0,0
1979,11,4,3,7281.71,0,1040.98,0,123.79,0,69.4,0,0,0,0,0,0,0,0,0
1979,11,4,4,2317.05,0,79.07,0,39.39,0,5.27,0,0,0,0,0,0,0,0,0
1979,11,4,5,0,0,2.28,0,0,0,0.15,0,0,0,0,0,0,0,0,0
1979,11,7,2,0,0,745.27,0,0,0,49.68,0,0,0,0,0,0,0,0,0
1979,11,7,3,679.99,0,445.55,0,11.56,0,29.7,0,0,0,0,0,0,0,0,0
1979,11,7,4,168.37,0,52.31,0,2.86,0,3.49,0,0,0,0,0,0,0,0,0
1979,11,7,5,0,0,3.43,0,0,0,0.23,0,0,0,0,0,0,0,0,0
1979,11,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,12,1,2,0,0,55.64,0,0,0,1.75,0,0,0,0,0,0,0,0,0
1979,12,1,3,1.21,0,36.18,0,0.01,0,1.14,0,0,0,0,0,0,0,0,0
1979,12,1,4,2.14,0,0.5,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0
1979,12,1,5,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,12,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,12,4,2,0.76,0,18.99,0,0.01,0,1.27,0,0,0,0,0,0,0,0,0
1979,12,4,3,115.56,0,11.03,0,1.96,0,0.74,0,0,0,0,0,0,0,0,0
1979,12,4,4,24.18,0,0.6,0,0.41,0,0.04,0,0,0,0,0,0,0,0,0
1979,12,4,5,1.3,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0
