record_code,format_version,submission_date,reporting_agency,sampling_agency,RecoveryID,species,run_year,recovery_date,recovery_date_type,period_type,period,fishery,gear,adclip_selective_fishery,estimation_level,recovery_location_code,sampling_site,recorded_mark,sex,weight,weight_code,weight_type,length,length_code,length_type,detection_method,tag_status,tag_code,tag_type,sequential_number,sequential_column_number,sequential_row_number,catch_sample_id,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,estimated_number,recovery_location_name,record_origin,release_location_state,release_location_psc_region,release_location_psc_basin,hatchery_location_name,stock_location_name,brood_year,run,hatchery_location_code,stock_location_code,last_release_date_year,fishery,Month,Sampling Rate,Age,Area,Fishery_desc,F_Name,Fishery_Description,Area2,US Areas,Catch_Region,PFMA,MSF,Length_Cat,PFMA-Subarea,Day_of_Year,Day,Datevalue,GeoArea
R,4.1,20170126,CDFO,CDFO,S327505,1,1994,19940717,R,5,7,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,020313,0,,,,,3,,,,,,3.25,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Raft R,1991,2,2FS  TOMFH0162,2FS  TOMFS0045,1992,NSPT ,7,31%,3,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,198,17,34532,
R,4.1,20170126,CDFO,CDFO,S330085,1,1993,19930617,R,5,6,40,7,,3,2MN25H02WSKID PT 64,,5000,,,,,,,,V,1,020329,0,,,,,3,,,,,,4.04,NSPT  SKID PT [2-64],N,BC,FRTH,LOFR,H-Chilliwack River H,S-Chilliwack R,1990,2,2FS  LWFRH0107,2FS  LWFRS0107,1991,NSPT ,6,25%,3,02W,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,168,17,34137,
R,4.1,20170126,CDFO,CDFO,S317122,1,1993,19930612,R,5,6,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,020430,0,,,,,3,,,,,,4.04,NSPT  LANG IS [1-2],N,BC,FRTH,LOFR,H-Chilliwack River H,S-Chilliwack R,1989,2,2FS  LWFRH0107,2FS  LWFRS0107,1990,NSPT ,6,25%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,163,12,34132,
R,4.1,20170126,CDFO,CDFO,S317171,1,1992,19920612,R,5,6,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,020363,0,,,,,3,,,,,,3.47,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Raft R,1989,2,2FS  TOMFH0162,2FS  TOMFS0045,1990,NSPT ,6,29%,3,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,164,12,33767,
R,4.1,20170126,CDFO,CDFO,S317118,1,1993,19930519,R,5,5,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,020619,0,,,,,3,,,,,,4.39,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Raft R,1989,2,2FS  TOMFH0162,2FS  TOMFS0045,1990,NSPT ,5,23%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,139,19,34108,
R,4.1,20180104,CDFO,CDFO,S327515,1,1995,19950612,R,5,6,40,7,,4,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,021147,0,,,,,3,,,,,,5.18,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Clearwater R Up,1990,2,2FS  TOMFH0162,2FS  TOMFS0162,1991,NSPT ,6,19%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,163,12,34862,
R,4.1,20170126,CDFO,CDFO,S354897,1,1994,19940701,R,5,7,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,020525,0,,,,,3,,,,,,3.25,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Clearwater R Up,1989,2,2FS  TOMFH0162,2FS  TOMFS0162,1990,NSPT ,7,31%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,182,1,34516,
R,4.1,20180104,CDFO,CDFO,S362117,1,1995,19950602,R,5,6,40,7,,3,2MS27P024TOFINO,,5000,,,,,,,,V,1,021150,0,,,,,3,,,,,,4.25,WSPT  TOFINO(P024),N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Clearwater R Up,1990,2,2FS  TOMFH0162,2FS  TOMFS0162,1991,WSPT ,6,24%,5,024,Ocean Sport,WSPT ,WCVI Sport,,WCVI,27,024,,,,153,2,34852,
R,4.1,20180104,CDFO,CDFO,S327540,1,1995,19950616,R,5,6,40,7,,4,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,021529,0,,,,,3,,,,,,5.18,NSPT  LANG IS [1-2],N,BC,FRTH,LOFR,H-Inch Creek H,S-Pitt R Up,1990,2,2FS  LWFRH0150,2FS  LWFRS0249,1991,NSPT ,6,19%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,167,16,34866,
R,4.1,20170126,CDFO,CDFO,S317140,1,1993,19930629,R,5,6,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,021558,0,,,,,3,,,,,,4.04,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Raft R,1990,2,2FS  TOMFH0162,2FS  TOMFS0045,1991,NSPT ,6,25%,3,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,180,29,34149,
R,4.1,20170126,CDFO,CDFO,S354844,1,1994,19940518,R,5,5,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,021558,0,,,,,3,,,,,,4.99,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Raft R,1990,2,2FS  TOMFH0162,2FS  TOMFS0045,1991,NSPT ,5,20%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,138,18,34472,
R,4.1,20170126,CDFO,CDFO,S354850,1,1994,19940521,R,5,5,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,021558,0,,,,,3,,,,,,4.99,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Raft R,1990,2,2FS  TOMFH0162,2FS  TOMFS0045,1991,NSPT ,5,20%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,141,21,34475,
R,4.1,20180104,CDFO,CDFO,S327552,1,1995,19950701,R,5,7,40,7,,4,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,021558,0,,,,,3,,,,,,7.45,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Raft R,1990,2,2FS  TOMFH0162,2FS  TOMFS0045,1991,NSPT ,7,13%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,182,1,34881,
R,4.1,20170126,CDFO,CDFO,S86801,1,1983,198307,R,5,7,40,7,,3,2MS27H23BUCLUELE,,5000,,,,,,,,V,1,022043,0,,,,,3,,,,,,4.24,WSPT  UCLUELE [H23B],N,BC,FRTH,UPFR,,S-Quesnel R,1978,2,,2FS  UPFRS0155,1979,WSPT ,7,24%,5,23B,Ocean Sport,WSPT ,WCVI Sport,,WCVI,27,23B,,,,188,7,30504,
R,4.1,20170126,CDFO,CDFO,S305054,1,1990,19900815,R,5,8,40,7,,3,2MN25H001MASSET  06,,5000,,,,,,,,V,1,023709,0,,,,,3,,,,,,4.54,NSPT  MASSET [1-6],N,BC,FRTH,UPFR,H-Quesnel River H,S-Quesnel R,1985,2,2FS  UPFRH0155,2FS  UPFRS0155,1986,NSPT ,8,22%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,227,15,33100,
