record_code,format_version,submission_date,reporting_agency,sampling_agency,RecoveryID,species,run_year,recovery_date,recovery_date_type,period_type,period,fishery,gear,adclip_selective_fishery,estimation_level,recovery_location_code,sampling_site,recorded_mark,sex,weight,weight_code,weight_type,length,length_code,length_type,detection_method,tag_status,tag_code,tag_type,sequential_number,sequential_column_number,sequential_row_number,catch_sample_id,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,estimated_number,recovery_location_name,record_origin,release_location_state,release_location_psc_region,release_location_psc_basin,hatchery_location_name,stock_location_name,brood_year,run,hatchery_location_code,stock_location_code,last_release_date_year,fishery,Month,Sampling Rate,Age,Area,Fishery_desc,F_Name,Fishery_Description,Area2,US Areas,Catch_Region,PFMA,MSF,Length_Cat,PFMA-Subarea,Day_of_Year,Day,Datevalue,GeoArea
R,4.1,20170126,CDFO,CDFO,S317028,1,1991,19910626,R,5,6,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,024537,0,,,,,3,,,,,,3.52,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Thompson R N,1986,2,2FS  TOMFH0162,2FS  TOMFS0188,1987,NSPT ,6,28%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,177,26,33415,
R,4.1,20170126,CDFO,CDFO,S317027,1,1991,19910626,R,5,6,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,024538,0,,,,,3,,,,,,3.52,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Thompson R N,1986,2,2FS  TOMFH0162,2FS  TOMFS0188,1987,NSPT ,6,28%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,177,26,33415,
R,4.1,20170126,CDFO,CDFO,S315079,1,1991,19910627,R,5,6,40,7,,3,2MS27P124LONG BE 03,,5000,,,,,,,,V,1,024816,0,,,,,3,,,,,,5.55,WSPT  LONG BE(124-3),N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Thompson R N,1987,2,2FS  TOMFH0162,2FS  TOMFS0188,1988,WSPT ,6,18%,4,124,Ocean Sport,WSPT ,WCVI Sport,,WCVI,27,124,,,,178,27,33416,
R,4.1,20170126,CDFO,CDFO,S317029,1,1991,19910626,R,5,6,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,025158,0,,,,,3,,,,,,3.52,NSPT  LANG IS [1-2],N,BC,FRTH,LOFR,H-Chilliwack River H,S-Finn Cr,1987,1,2FS  LWFRH0107,2FS  TOMFS1945,1988,NSPT ,6,28%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,177,26,33415,
R,4.1,20170126,CDFO,CDFO,S317135,1,1993,19930708,R,5,7,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,025632,9,,,,,3,,,,,,2.78,NSPT  LANG IS [1-2],N,BC,FRTH,UPFR,H-Quesnel River H,S-Quesnel R,1988,2,2FS  UPFRH0155,2FS  UPFRS0155,1990,NSPT ,7,36%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,189,8,34158,
R,4.1,20170126,CDFO,CDFO,S222437,1,1993,19930525,R,5,5,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,025741,0,,,,,3,,,,,,4.39,NSPT  LANG IS [1-2],N,BC,FRTH,LOFR,H-Chilliwack River H,S-Finn Cr,1988,1,2FS  LWFRH0107,2FS  TOMFS1945,1989,NSPT ,5,23%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,145,25,34114,
R,4.1,20170126,CDFO,CDFO,S317175,1,1992,19920616,R,5,6,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,025756,0,,,,,3,,,,,,3.47,NSPT  LANG IS [1-2],N,BC,FRTH,UPFR,H-Stuart River,S-Stuart R,1988,2,2FS  UPFRH0158,2FS  UPFRS0158,1989,NSPT ,6,29%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,168,16,33771,
R,4.1,20170126,CDFO,CDFO,S310045,1,1992,19920718,R,5,7,40,7,,3,2MN25H001MASS IN 06,,5000,,,,,,,,V,1,025834,0,,,,,3,,,,,,4.17,NSPT  MASS IN [1-6],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Thompson R N,1988,2,2FS  TOMFH0162,2FS  TOMFS0188,1989,NSPT ,7,24%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,200,18,33803,
R,4.1,20170126,CDFO,CDFO,S321811,1,1993,19930622,R,5,6,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,025834,0,,,,,3,,,,,,4.04,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Thompson R N,1988,2,2FS  TOMFH0162,2FS  TOMFS0188,1989,NSPT ,6,25%,5,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,173,22,34142,
R,4.1,20170126,CDFO,CDFO,S317167,1,1992,19920603,R,5,6,40,7,,3,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,025901,9,,,,,3,,,,,,3.47,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Clearwater R Low,1988,2,2FS  TOMFH0162,2FS  TOMFS2617,1989,NSPT ,6,29%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,155,3,33758,
R,4.1,20180104,CDFO,CDFO,S327860,1,1995,19950618,R,5,6,40,7,,4,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,180150,0,,,,,3,,,,,,5.18,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Clearwater R Low,1991,2,2FS  TOMFH0162,2FS  TOMFS2617,1992,NSPT ,6,19%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,169,18,34868,
R,4.1,20180104,CDFO,CDFO,S327930,1,1995,19950607,R,5,6,40,7,,4,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,180435,0,,,,,3,,,,,,5.18,NSPT  LANG IS [1-2],N,BC,FRTH,LOFR,H-Chilliwack River H,S-Chilliwack R,1991,2,2FS  LWFRH0107,2FS  LWFRS0107,1992,NSPT ,6,19%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,158,7,34857,
R,4.1,20180104,CDFO,CDFO,S346840,1,1995,19950804,R,5,8,40,7,,3,2MS27P123SOUT BK 05,,5000,,,,,,,,V,1,180726,0,,,,271608,6,,,,,,2.64,WSPT  SOUT BK(123-5),N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Clearwater R Low,1991,2,2FS  TOMFH0162,2FS  TOMFS2617,1993,WSPT ,8,38%,4,123,Ocean Sport,WSPT ,WCVI Sport,Lower Fraser River,WCVI,27,123,,,,216,4,34915,
R,4.1,20180104,CDFO,CDFO,S327547,1,1995,19950705,R,5,7,40,7,,4,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,180727,0,,,,,3,,,,,,7.45,NSPT  LANG IS [1-2],N,BC,FRTH,UPTR,"H-Clearwater River, Up, H",S-Clearwater R Low,1991,2,2FS  TOMFH0162,2FS  TOMFS2617,1992,NSPT ,7,13%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,186,5,34885,
R,4.1,20180104,CDFO,CDFO,S327868,1,1995,19950805,R,5,8,40,7,,4,2MN25H001LACY IS 02,,5000,,,,,,,,V,1,180833,0,,,,,3,,,,,,3.55,NSPT  LACY IS [101-2],N,BC,FRTH,UPFR,H-Quesnel River H,S-Quesnel R,1991,2,2FS  UPFRH0155,2FS  UPFRS0155,1992,NSPT ,8,28%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,217,5,34916,
R,4.1,20180104,CDFO,CDFO,S359029,1,1996,19960722,R,5,7,40,7,,3,2MS27P123WYA PT  05,,5000,,,,,,,,V,1,180834,0,,,,271607,6,,,,,,2.36,WSPT  WYA PT(123-5),N,BC,FRTH,UPFR,H-Quesnel River H,S-Quesnel R,1991,2,2FS  UPFRH0155,2FS  UPFRS0155,1992,WSPT ,7,42%,5,123,Ocean Sport,WSPT ,WCVI Sport,Lower Fraser River,WCVI,27,123,,,,204,22,35268,
R,4.1,20180104,CDFO,CDFO,S383305,1,1998,19980807,R,5,8,40,7,,4,2MN25H02WKIND PT 69,,5000,,,,,,,,V,1,181445,0,,,,,3,,,,,,2.44,NSPT  KIND PT [2-69],N,BC,FRTH,UPFR,H-Quesnel River H,S-Quesnel R,1993,2,2FS  UPFRH0155,2FS  UPFRS0155,1995,NSPT ,8,41%,5,02W,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,219,7,36014,
R,4.1,20180104,CDFO,CDFO,S383301,1,1998,19980718,R,5,7,40,7,,4,2MN25H02WKIND PT 69,,5000,,,,,,,,V,1,181445,0,,,,,3,,,,,,1,NSPT  KIND PT [2-69],N,BC,FRTH,UPFR,H-Quesnel River H,S-Quesnel R,1993,2,2FS  UPFRH0155,2FS  UPFRS0155,1995,NSPT ,7,100%,5,02W,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,199,18,35994,
R,4.1,20230123,CDFO,CDFO,S1306438,1,2018,20180710,R,5,7,40,7,N,3,2MS27P126KYUQUOT,,5000,,,,,710,0,1,V,1,181792,12,,,,027D1107,1,,,,,,1,WSPT  KYUQUOT(P126),N,BC,FRTH,UPFR,H-Chehalis River H,S-Chilko R,2014,2,2FS  LWFRH0154,2FS  UPFRS0272,2016,WSPT ,7,100%,4,126,Ocean Sport,WSPT ,WCVI Sport,,WCVI,27,126,,3,,191,10,43291,
R,4.1,20180104,CDFO,CDFO,S387654,1,1998,19980606,R,5,6,40,7,,4,2MN25H001LANG IS 02,,5000,,,,,,,,V,1,181839,0,,,,,3,,,,,,33.12,NSPT  LANG IS [1-2],N,BC,FRTH,UPFR,H-Stuart River,S-Stuart R,1994,2,2FS  UPFRH0158,2FS  UPFRS0158,1995,NSPT ,6,3%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,157,6,35952,
R,4.1,20230208,CDFO,CDFO,S1377466,1,2022,20220618,R,5,6,40,7,N,4,2MN25P001CP NADE 03,,5000,,,,,,,,V,1,185791,12,,,,,3,,,,,,2.64,NSPT  CP NADE(1-3),N,BC,FRTH,UPFR,H-Inch Creek H,S-Chilko R,2018,2,2FS  LWFRH0150,2FS  UPFRS0272,2020,NSPT ,6,38%,4,001,Ocean Sport,NSPT ,Northern BC Sport,,BC North,25,,,,,169,18,44730,
